TeamId,TeamName,Division,Alias
1,Air Force, FBS, 
2,Akron, FBS, 
3,Alabama, FBS, 
4,Appalachian State, FBS, 
5,Arizona, FBS, 
6,Arizona State, FBS, 
7,Arkansas, FBS, 
8,Arkansas State, FBS, 
9,Army, FBS, 
10,Auburn, FBS, 
11,Ball State, FBS, 
12,Baylor, FBS, 
13,Boise State, FBS, 
14,Boston College, FBS, 
15,Bowling Green, FBS, 
16,Buffalo, FBS, 
17,BYU, FBS,Brigham Young
18,California, FBS, 
19,Central Michigan, FBS, 
20,Charlotte, FBS, 
21,Cincinnati, FBS, 
22,Clemson, FBS, 
23,Coastal Carolina, FBS, 
24,Colorado, FBS, 
25,Colorado State, FBS, 
26,Connecticut, FBS, 
27,Delaware, FBS, 
28,Duke, FBS, 
29,East Carolina, FBS, 
30,Eastern Michigan, FBS, 
31,Florida, FBS, 
32,Florida Atlantic, FBS, 
33,Florida International, FBS, 
34,Florida State, FBS, 
35,Fresno State, FBS, 
36,Georgia, FBS, 
37,Georgia Southern, FBS, 
38,Georgia State, FBS, 
39,Georgia Tech, FBS, 
40,Hawaii, FBS, 
41,Houston, FBS, 
42,Illinois, FBS, 
43,Indiana, FBS, 
44,Iowa, FBS, 
45,Iowa State, FBS, 
46,Jacksonville State, FBS, 
47,James Madison, FBS, 
48,Kansas, FBS, 
49,Kansas State, FBS, 
50,Kennesaw State, FBS, 
51,Kent State, FBS, 
52,Kentucky, FBS, 
53,Liberty, FBS, 
54,Louisiana, FBS, 
55,Louisiana Tech, FBS, 
56,Louisiana-Monroe, FBS, 
57,Louisville, FBS, 
58,LSU, FBS,Louisiana State
59,Marshall, FBS, 
60,Maryland, FBS, 
61,Massachusetts, FBS, 
62,Memphis, FBS, 
63,Miami (FL), FBS, 
64,Miami (OH), FBS, 
65,Michigan, FBS, 
66,Michigan State, FBS, 
67,Middle Tennessee State, FBS, 
68,Minnesota, FBS, 
69,Mississippi State, FBS, 
70,Missouri, FBS, 
71,Missouri State, FBS, 
72,Navy, FBS, 
73,Nebraska, FBS, 
74,Nevada, FBS, 
75,Nevada-Las Vegas, FBS, 
76,New Mexico, FBS, 
77,New Mexico State, FBS, 
78,North Carolina, FBS, 
79,North Carolina State, FBS, 
80,North Texas, FBS, 
81,Northern Illinois, FBS, 
82,Northwestern, FBS, 
83,Notre Dame, FBS, 
84,Ohio, FBS, 
85,Ohio State, FBS, 
86,Oklahoma, FBS, 
87,Oklahoma State, FBS, 
88,Old Dominion, FBS, 
89,Ole Miss, FBS,Mississippi
90,Oregon, FBS, 
91,Oregon State, FBS, 
92,Penn State, FBS, 
93,Pitt, FBS,Pittsburgh
94,Purdue, FBS, 
95,Rice, FBS, 
96,Rutgers, FBS, 
97,Sam Houston, FBS, 
98,San Diego State, FBS, 
99,San Jose State, FBS, 
100,SMU, FBS,Southern Methodist
101,South Alabama, FBS, 
102,South Carolina, FBS, 
103,South Florida, FBS, 
104,Southern Mississippi, FBS, 
105,Stanford, FBS, 
106,Syracuse, FBS, 
107,TCU, FBS,Texas Christian
108,Temple, FBS, 
109,Tennessee, FBS, 
110,Texas, FBS, 
111,Texas A&M, FBS, 
