Year,count(*)
1965,2176
1966,2448
1967,2448
1968,2312
1969,2312
1970,2584
1971,2312
1972,2448
1973,2584
1974,2584
1975,2448
1976,2448
1977,2584
1978,2584
1979,2584
1980,2720
1981,2448
1982,2448
1983,2720
1984,2720
1985,2720
1986,2720
1987,2584
1988,2584
1989,2584
1990,2720
1991,2584
1992,2448
1993,2448
1994,2584
1995,2720
1996,2720
1997,2720
1998,2584
1999,2584
2000,2584
2001,2584
2002,2720
2003,2720
2004,2720
2005,2448
2006,2448
2007,2448
2008,2720
2009,2720
2010,2720
2011,2720
2012,2720
2013,2720
2014,2856
2015,2584
2016,2856
2017,2856
2018,2856
2019,2992
2020,2856
2021,2720
2022,2856
2023,2856
2024,3128
2025,3128
